Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cu6n,Question Key,Response
1,1.59665E+12,5/8/2020 18:31,1.59665E+12,1,5/8/2020 19:31,15519,22,questionnaire-8f8c,,6385954,BLIND,1810084,,complete,,5f2af76d5c256a4786f441e3,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1920x969,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385954,BLIND,1810084,,complete,,5f2af76d5c256a4786f441e3,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1903x969,,Debrief,3,LF,response-3,One alien had the same colour throughout the initial test which helped me distinguish that one easier than the rest.
3,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385954,BLIND,1810084,,complete,,5f2af76d5c256a4786f441e3,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1903x969,,Debrief,3,LF,response-4,
4,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385954,BLIND,1810084,,complete,,5f2af76d5c256a4786f441e3,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1903x969,,Debrief,3,LF,response-5,I was unaware how long each segment would take and it was not obvious how long each segment of the test would go on for.
5,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385954,BLIND,1810084,,complete,,5f2af76d5c256a4786f441e3,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1903x969,,Debrief,3,LF,END QUESTIONNAIRE,95919
1,1.59665E+12,5/8/2020 18:31,1.59665E+12,1,5/8/2020 19:31,15519,22,questionnaire-8f8c,,6385955,BLIND,1810079,,complete,,5f2af77004ad2b4535a0c9c3,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,1440x900,1440x722,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385955,BLIND,1810079,,complete,,5f2af77004ad2b4535a0c9c3,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,1440x900,1440x722,,Debrief,3,LF,response-3,I knew the blue ones were bims. I could remember the first one I had seen on togs and wups but i found myself guessing a lot for the deps.
3,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385955,BLIND,1810079,,complete,,5f2af77004ad2b4535a0c9c3,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,1440x900,1440x722,,Debrief,3,LF,response-4,None
4,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385955,BLIND,1810079,,complete,,5f2af77004ad2b4535a0c9c3,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,1440x900,1440x722,,Debrief,3,LF,response-5,
5,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385955,BLIND,1810079,,complete,,5f2af77004ad2b4535a0c9c3,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 83.0.4103.116,1440x900,1440x722,,Debrief,3,LF,END QUESTIONNAIRE,80430
1,1.59665E+12,5/8/2020 18:31,1.59665E+12,1,5/8/2020 19:31,15519,22,questionnaire-8f8c,,6385959,BLIND,1810080,,complete,,5f2af7695cf0cd463ae81376,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 84.0.4147.105,1440x900,1440x680,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385959,BLIND,1810080,,complete,,5f2af7695cf0cd463ae81376,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 84.0.4147.105,1440x900,1440x680,,Debrief,3,LF,response-3,I tried to link the body shape of the aliens to the names but found this extremely hard.
3,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385959,BLIND,1810080,,complete,,5f2af7695cf0cd463ae81376,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 84.0.4147.105,1440x900,1440x680,,Debrief,3,LF,response-4,
4,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385959,BLIND,1810080,,complete,,5f2af7695cf0cd463ae81376,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 84.0.4147.105,1440x900,1440x680,,Debrief,3,LF,response-5,
5,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385959,BLIND,1810080,,complete,,5f2af7695cf0cd463ae81376,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 84.0.4147.105,1440x900,1440x680,,Debrief,3,LF,END QUESTIONNAIRE,47258
1,1.59665E+12,5/8/2020 18:32,1.59665E+12,1,5/8/2020 19:32,15519,22,questionnaire-8f8c,,6385964,BLIND,1810097,,complete,,5f2af76c200d1e47beb66869,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1522x722,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 18:33,1.59665E+12,1,5/8/2020 19:33,15519,22,questionnaire-8f8c,,6385964,BLIND,1810097,,complete,,5f2af76c200d1e47beb66869,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1506x722,,Debrief,3,LF,response-3,"It depends. I tried to remember what I thought were unique characteristics. For example bim  was one color. Wug i think kind of slanted upwards like a W, whereas dep kind of sloped downwards like a ""d"", but it was really hard. "
3,1.59665E+12,5/8/2020 18:33,1.59665E+12,1,5/8/2020 19:33,15519,22,questionnaire-8f8c,,6385964,BLIND,1810097,,complete,,5f2af76c200d1e47beb66869,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1506x722,,Debrief,3,LF,response-4,nope
4,1.59665E+12,5/8/2020 18:33,1.59665E+12,1,5/8/2020 19:33,15519,22,questionnaire-8f8c,,6385964,BLIND,1810097,,complete,,5f2af76c200d1e47beb66869,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1506x722,,Debrief,3,LF,response-5,nope
5,1.59665E+12,5/8/2020 18:33,1.59665E+12,1,5/8/2020 19:33,15519,22,questionnaire-8f8c,,6385964,BLIND,1810097,,complete,,5f2af76c200d1e47beb66869,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1506x722,,Debrief,3,LF,END QUESTIONNAIRE,75324
1,1.59665E+12,5/8/2020 18:33,1.59665E+12,1,5/8/2020 19:33,15519,22,questionnaire-8f8c,,6385986,BLIND,1810086,,complete,,5f2af7715a7826457a0410b3,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.52,1366x768,1821x833,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 18:40,1.59665E+12,1,5/8/2020 19:40,15519,22,questionnaire-8f8c,,6385986,BLIND,1810086,,complete,,5f2af7715a7826457a0410b3,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.52,1366x768,1799x833,,Debrief,3,LF,response-3,"I did try to look out for similar features/colours and I think in the 2nd round was able to try and relate the aliens to life-like things. Throughtout the experiment for example, I felt the tobs all resembled a sort of pheasant shape and noted that they tended to be maroon-like colour; the wubs had the long body, usually blue; the deps for the most part reminded me of a walrus, and i noticed that they seemed to be more colourful; and the bims were all blue. I tried to categories them to more relatable things: slugs, walrus, pheasant, blue."
3,1.59665E+12,5/8/2020 18:40,1.59665E+12,1,5/8/2020 19:40,15519,22,questionnaire-8f8c,,6385986,BLIND,1810086,,complete,,5f2af7715a7826457a0410b3,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.52,1366x768,1799x833,,Debrief,3,LF,response-4,
4,1.59665E+12,5/8/2020 18:40,1.59665E+12,1,5/8/2020 19:40,15519,22,questionnaire-8f8c,,6385986,BLIND,1810086,,complete,,5f2af7715a7826457a0410b3,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.52,1366x768,1799x833,,Debrief,3,LF,response-5,
5,1.59665E+12,5/8/2020 18:40,1.59665E+12,1,5/8/2020 19:40,15519,22,questionnaire-8f8c,,6385986,BLIND,1810086,,complete,,5f2af7715a7826457a0410b3,computer,Desktop or Laptop,Windows 10,Edge 84.0.522.52,1366x768,1799x833,,Debrief,3,LF,END QUESTIONNAIRE,393218
1,1.59665E+12,5/8/2020 18:34,1.59665E+12,1,5/8/2020 19:34,15519,22,questionnaire-8f8c,,6385993,BLIND,1810112,,complete,,5f2af77e89aa604675ab8d12,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1536x722,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 18:35,1.59665E+12,1,5/8/2020 19:35,15519,22,questionnaire-8f8c,,6385993,BLIND,1810112,,complete,,5f2af77e89aa604675ab8d12,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1519x722,,Debrief,3,LF,response-3,I mainly categorised by colour of the main body
3,1.59665E+12,5/8/2020 18:35,1.59665E+12,1,5/8/2020 19:35,15519,22,questionnaire-8f8c,,6385993,BLIND,1810112,,complete,,5f2af77e89aa604675ab8d12,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1519x722,,Debrief,3,LF,response-4,N/A
4,1.59665E+12,5/8/2020 18:35,1.59665E+12,1,5/8/2020 19:35,15519,22,questionnaire-8f8c,,6385993,BLIND,1810112,,complete,,5f2af77e89aa604675ab8d12,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1519x722,,Debrief,3,LF,response-5,thanks
5,1.59665E+12,5/8/2020 18:35,1.59665E+12,1,5/8/2020 19:35,15519,22,questionnaire-8f8c,,6385993,BLIND,1810112,,complete,,5f2af77e89aa604675ab8d12,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1536x864,1519x722,,Debrief,3,LF,END QUESTIONNAIRE,69055
1,1.59665E+12,5/8/2020 18:40,1.59665E+12,10,6/8/2020 4:40,15519,22,questionnaire-8f8c,,6386081,BLIND,1810094,,complete,,5f2af76dbc24294699079d93,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1920x969,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 18:44,1.59665E+12,10,6/8/2020 4:44,15519,22,questionnaire-8f8c,,6386081,BLIND,1810094,,complete,,5f2af76dbc24294699079d93,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1903x969,,Debrief,3,LF,response-3,"The most common thing I could remember after watching multiple aliens of the same kind was originally the  colours used, and then the position of some 'limbs' or parts around the main body although for some I still wasn't sure how adequate it was in being able to tell."
3,1.59665E+12,5/8/2020 18:44,1.59665E+12,10,6/8/2020 4:44,15519,22,questionnaire-8f8c,,6386081,BLIND,1810094,,complete,,5f2af76dbc24294699079d93,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1903x969,,Debrief,3,LF,response-4,None
4,1.59665E+12,5/8/2020 18:44,1.59665E+12,10,6/8/2020 4:44,15519,22,questionnaire-8f8c,,6386081,BLIND,1810094,,complete,,5f2af76dbc24294699079d93,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1903x969,,Debrief,3,LF,response-5,
5,1.59665E+12,5/8/2020 18:44,1.59665E+12,10,6/8/2020 4:44,15519,22,questionnaire-8f8c,,6386081,BLIND,1810094,,complete,,5f2af76dbc24294699079d93,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1920x1080,1903x969,,Debrief,3,LF,END QUESTIONNAIRE,229093
1,1.59665E+12,5/8/2020 19:07,1.59665E+12,-4,5/8/2020 15:07,15519,22,questionnaire-8f8c,,6386343,BLIND,1810315,,complete,,5f2af77021e0b146a9a299e0,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1280x800,1280x689,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 19:08,1.59665E+12,-4,5/8/2020 15:09,15519,22,questionnaire-8f8c,,6386343,BLIND,1810315,,complete,,5f2af77021e0b146a9a299e0,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1280x800,1263x689,,Debrief,3,LF,response-3,i tried to master the image according to there shapes.
3,1.59665E+12,5/8/2020 19:08,1.59665E+12,-4,5/8/2020 15:09,15519,22,questionnaire-8f8c,,6386343,BLIND,1810315,,complete,,5f2af77021e0b146a9a299e0,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1280x800,1263x689,,Debrief,3,LF,response-4,no
4,1.59665E+12,5/8/2020 19:08,1.59665E+12,-4,5/8/2020 15:09,15519,22,questionnaire-8f8c,,6386343,BLIND,1810315,,complete,,5f2af77021e0b146a9a299e0,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1280x800,1263x689,,Debrief,3,LF,response-5,
5,1.59665E+12,5/8/2020 19:08,1.59665E+12,-4,5/8/2020 15:09,15519,22,questionnaire-8f8c,,6386343,BLIND,1810315,,complete,,5f2af77021e0b146a9a299e0,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.105,1280x800,1263x689,,Debrief,3,LF,END QUESTIONNAIRE,83994
1,1.59665E+12,5/8/2020 18:35,1.59665E+12,1,5/8/2020 19:35,15519,22,questionnaire-8f8c,,6386004,BLIND,1810091,,complete,,5f2af7829cdc0c4731bdcbc5,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1440x960,1440x847,,Debrief,3,LF,BEGIN QUESTIONNAIRE,
2,1.59665E+12,5/8/2020 18:38,1.59665E+12,1,5/8/2020 19:38,15519,22,questionnaire-8f8c,,6386004,BLIND,1810091,,complete,,5f2af7829cdc0c4731bdcbc5,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1440x960,1423x847,,Debrief,3,LF,response-3,"I initially attempted to memorise using colours - which was evidentally totally wrong - and then looked at the features attached to the body, but struggled to remember them."
3,1.59665E+12,5/8/2020 18:38,1.59665E+12,1,5/8/2020 19:38,15519,22,questionnaire-8f8c,,6386004,BLIND,1810091,,complete,,5f2af7829cdc0c4731bdcbc5,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1440x960,1423x847,,Debrief,3,LF,response-4,"I felt like my brain got in a bit of a muddle, and I definitely struggled to identify patterns and memorise the categories. "
4,1.59665E+12,5/8/2020 18:38,1.59665E+12,1,5/8/2020 19:38,15519,22,questionnaire-8f8c,,6386004,BLIND,1810091,,complete,,5f2af7829cdc0c4731bdcbc5,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1440x960,1423x847,,Debrief,3,LF,response-5,"Interesting experiment, but one that I found really difficult."
5,1.59665E+12,5/8/2020 18:38,1.59665E+12,1,5/8/2020 19:38,15519,22,questionnaire-8f8c,,6386004,BLIND,1810091,,complete,,5f2af7829cdc0c4731bdcbc5,computer,Desktop or Laptop,Windows 10,Firefox 79.0,1440x960,1423x847,,Debrief,3,LF,END QUESTIONNAIRE,211823
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
