blocks,frequency,subjID,pilot1_1,pilot2_1,pilot2_3,pilot2_2
1,control,3394859,5,NA,NA,NA
1,control,3421453,5,NA,NA,NA
1,control,3424063,5,NA,NA,NA
1,control,3430836,5,NA,NA,NA
1,control,3467073,5,NA,NA,NA
1,control,3473048,5,NA,NA,NA
1,control,3475213,5,NA,NA,NA
1,control,3481518,5,NA,NA,NA
1,control,3491839,5,NA,NA,NA
1,control,3502047,NA,5,NA,NA
1,control,3502650,NA,5,NA,NA
1,control,3502663,NA,NA,10,NA
1,control,3517616,NA,NA,NA,8
1,control,3517626,NA,5,NA,NA
1,control,3518198,NA,NA,NA,8
1,control,3528246,NA,NA,10,NA
1,control,3528247,NA,NA,10,NA
1,control,3528252,NA,NA,NA,8
1,control,3528273,NA,5,NA,NA
1,h,3394859,19,NA,NA,NA
1,h,3421453,19,NA,NA,NA
1,h,3424063,19,NA,NA,NA
1,h,3430836,19,NA,NA,NA
1,h,3467073,19,NA,NA,NA
1,h,3473048,19,NA,NA,NA
1,h,3475213,19,NA,NA,NA
1,h,3481518,19,NA,NA,NA
1,h,3491839,19,NA,NA,NA
1,h,3502047,NA,19,NA,NA
1,h,3502650,NA,19,NA,NA
1,h,3502663,NA,NA,16,NA
1,h,3517616,NA,NA,NA,17
1,h,3517626,NA,19,NA,NA
1,h,3518198,NA,NA,NA,17
1,h,3528246,NA,NA,16,NA
1,h,3528247,NA,NA,16,NA
1,h,3528252,NA,NA,NA,17
1,h,3528273,NA,19,NA,NA
1,l,3394859,5,NA,NA,NA
1,l,3421453,6,NA,NA,NA
1,l,3424063,6,NA,NA,NA
1,l,3430836,6,NA,NA,NA
1,l,3467073,6,NA,NA,NA
1,l,3473048,6,NA,NA,NA
1,l,3475213,6,NA,NA,NA
1,l,3481518,6,NA,NA,NA
1,l,3491839,6,NA,NA,NA
1,l,3502047,NA,6,NA,NA
1,l,3502650,NA,6,NA,NA
1,l,3502663,NA,NA,4,NA
1,l,3517616,NA,NA,NA,5
1,l,3517626,NA,6,NA,NA
1,l,3518198,NA,NA,NA,5
1,l,3528246,NA,NA,4,NA
1,l,3528247,NA,NA,4,NA
1,l,3528252,NA,NA,NA,5
1,l,3528273,NA,6,NA,NA
2,control,3394859,7,NA,NA,NA
2,control,3421453,7,NA,NA,NA
2,control,3424063,7,NA,NA,NA
2,control,3430836,7,NA,NA,NA
2,control,3467073,7,NA,NA,NA
2,control,3473048,7,NA,NA,NA
2,control,3475213,7,NA,NA,NA
2,control,3481518,7,NA,NA,NA
2,control,3491839,7,NA,NA,NA
2,control,3502047,NA,7,NA,NA
2,control,3502650,NA,7,NA,NA
2,control,3502663,NA,NA,9,NA
2,control,3517616,NA,NA,NA,3
2,control,3517626,NA,7,NA,NA
2,control,3518198,NA,NA,NA,3
2,control,3528246,NA,NA,9,NA
2,control,3528247,NA,NA,9,NA
2,control,3528252,NA,NA,NA,3
2,control,3528273,NA,7,NA,NA
2,h,3394859,13,NA,NA,NA
2,h,3421453,13,NA,NA,NA
2,h,3424063,13,NA,NA,NA
2,h,3430836,13,NA,NA,NA
2,h,3467073,13,NA,NA,NA
2,h,3473048,13,NA,NA,NA
2,h,3475213,13,NA,NA,NA
2,h,3481518,13,NA,NA,NA
2,h,3491839,13,NA,NA,NA
2,h,3502047,NA,13,NA,NA
2,h,3502650,NA,13,NA,NA
2,h,3502663,NA,NA,12,NA
2,h,3517616,NA,NA,NA,16
2,h,3517626,NA,13,NA,NA
2,h,3518198,NA,NA,NA,16
2,h,3528246,NA,NA,12,NA
2,h,3528247,NA,NA,12,NA
2,h,3528252,NA,NA,NA,16
2,h,3528273,NA,13,NA,NA
2,l,3394859,5,NA,NA,NA
2,l,3421453,5,NA,NA,NA
2,l,3424063,5,NA,NA,NA
2,l,3430836,5,NA,NA,NA
2,l,3467073,5,NA,NA,NA
2,l,3473048,5,NA,NA,NA
2,l,3475213,5,NA,NA,NA
2,l,3481518,5,NA,NA,NA
2,l,3491839,5,NA,NA,NA
2,l,3502047,NA,5,NA,NA
2,l,3502650,NA,5,NA,NA
2,l,3502663,NA,NA,4,NA
2,l,3517616,NA,NA,NA,6
2,l,3517626,NA,5,NA,NA
2,l,3518198,NA,NA,NA,6
2,l,3528246,NA,NA,4,NA
2,l,3528247,NA,NA,4,NA
2,l,3528252,NA,NA,NA,6
2,l,3528273,NA,5,NA,NA
3,control,3394859,8,NA,NA,NA
3,control,3421453,8,NA,NA,NA
3,control,3424063,8,NA,NA,NA
3,control,3430836,8,NA,NA,NA
3,control,3467073,8,NA,NA,NA
3,control,3473048,8,NA,NA,NA
3,control,3475213,8,NA,NA,NA
3,control,3481518,8,NA,NA,NA
3,control,3491839,8,NA,NA,NA
3,control,3502047,NA,8,NA,NA
3,control,3502650,NA,8,NA,NA
3,control,3502663,NA,NA,4,NA
3,control,3517616,NA,NA,NA,8
3,control,3517626,NA,8,NA,NA
3,control,3518198,NA,NA,NA,8
3,control,3528246,NA,NA,4,NA
3,control,3528247,NA,NA,4,NA
3,control,3528252,NA,NA,NA,8
3,control,3528273,NA,8,NA,NA
3,h,3394859,12,NA,NA,NA
3,h,3421453,12,NA,NA,NA
3,h,3424063,12,NA,NA,NA
3,h,3430836,12,NA,NA,NA
3,h,3467073,12,NA,NA,NA
3,h,3473048,12,NA,NA,NA
3,h,3475213,12,NA,NA,NA
3,h,3481518,12,NA,NA,NA
3,h,3491839,12,NA,NA,NA
3,h,3502047,NA,12,NA,NA
3,h,3502650,NA,12,NA,NA
3,h,3502663,NA,NA,17,NA
3,h,3517616,NA,NA,NA,12
3,h,3517626,NA,12,NA,NA
3,h,3518198,NA,NA,NA,12
3,h,3528246,NA,NA,17,NA
3,h,3528247,NA,NA,17,NA
3,h,3528252,NA,NA,NA,12
3,h,3528273,NA,12,NA,NA
3,l,3394859,6,NA,NA,NA
3,l,3421453,6,NA,NA,NA
3,l,3424063,6,NA,NA,NA
3,l,3430836,6,NA,NA,NA
3,l,3467073,6,NA,NA,NA
3,l,3473048,6,NA,NA,NA
3,l,3475213,6,NA,NA,NA
3,l,3481518,6,NA,NA,NA
3,l,3491839,6,NA,NA,NA
3,l,3502047,NA,6,NA,NA
3,l,3502650,NA,6,NA,NA
3,l,3502663,NA,NA,5,NA
3,l,3517616,NA,NA,NA,6
3,l,3517626,NA,6,NA,NA
3,l,3518198,NA,NA,NA,6
3,l,3528246,NA,NA,5,NA
3,l,3528247,NA,NA,5,NA
3,l,3528252,NA,NA,NA,6
3,l,3528273,NA,6,NA,NA
4,control,3394859,6,NA,NA,NA
4,control,3421453,6,NA,NA,NA
4,control,3424063,6,NA,NA,NA
4,control,3430836,6,NA,NA,NA
4,control,3467073,6,NA,NA,NA
4,control,3473048,6,NA,NA,NA
4,control,3475213,6,NA,NA,NA
4,control,3481518,6,NA,NA,NA
4,control,3491839,6,NA,NA,NA
4,control,3502047,NA,6,NA,NA
4,control,3502650,NA,6,NA,NA
4,control,3502663,NA,NA,7,NA
4,control,3517616,NA,NA,NA,4
4,control,3517626,NA,6,NA,NA
4,control,3518198,NA,NA,NA,4
4,control,3528246,NA,NA,7,NA
4,control,3528247,NA,NA,7,NA
4,control,3528252,NA,NA,NA,4
4,control,3528273,NA,6,NA,NA
4,h,3394859,19,NA,NA,NA
4,h,3421453,19,NA,NA,NA
4,h,3424063,19,NA,NA,NA
4,h,3430836,19,NA,NA,NA
4,h,3467073,19,NA,NA,NA
4,h,3473048,19,NA,NA,NA
4,h,3475213,19,NA,NA,NA
4,h,3481518,19,NA,NA,NA
4,h,3491839,19,NA,NA,NA
4,h,3502047,NA,19,NA,NA
4,h,3502650,NA,19,NA,NA
4,h,3502663,NA,NA,16,NA
4,h,3517616,NA,NA,NA,18
4,h,3517626,NA,19,NA,NA
4,h,3518198,NA,NA,NA,18
4,h,3528246,NA,NA,16,NA
4,h,3528247,NA,NA,16,NA
4,h,3528252,NA,NA,NA,18
4,h,3528273,NA,19,NA,NA
4,l,3394859,4,NA,NA,NA
4,l,3421453,4,NA,NA,NA
4,l,3424063,4,NA,NA,NA
4,l,3430836,4,NA,NA,NA
4,l,3467073,4,NA,NA,NA
4,l,3473048,4,NA,NA,NA
4,l,3475213,4,NA,NA,NA
4,l,3481518,4,NA,NA,NA
4,l,3491839,4,NA,NA,NA
4,l,3502047,NA,4,NA,NA
4,l,3502650,NA,4,NA,NA
4,l,3502663,NA,NA,6,NA
4,l,3517616,NA,NA,NA,7
4,l,3517626,NA,4,NA,NA
4,l,3518198,NA,NA,NA,7
4,l,3528246,NA,NA,6,NA
4,l,3528247,NA,NA,6,NA
4,l,3528252,NA,NA,NA,7
4,l,3528273,NA,4,NA,NA
5,control,3394859,6,NA,NA,NA
5,control,3421453,6,NA,NA,NA
5,control,3424063,6,NA,NA,NA
5,control,3430836,6,NA,NA,NA
5,control,3467073,6,NA,NA,NA
5,control,3473048,6,NA,NA,NA
5,control,3475213,6,NA,NA,NA
5,control,3481518,6,NA,NA,NA
5,control,3491839,6,NA,NA,NA
5,control,3502047,NA,6,NA,NA
5,control,3502650,NA,6,NA,NA
5,control,3502663,NA,NA,6,NA
5,control,3517616,NA,NA,NA,8
5,control,3517626,NA,6,NA,NA
5,control,3518198,NA,NA,NA,8
5,control,3528246,NA,NA,6,NA
5,control,3528247,NA,NA,6,NA
5,control,3528252,NA,NA,NA,8
5,control,3528273,NA,6,NA,NA
5,h,3394859,14,NA,NA,NA
5,h,3421453,14,NA,NA,NA
5,h,3424063,14,NA,NA,NA
5,h,3430836,14,NA,NA,NA
5,h,3467073,14,NA,NA,NA
5,h,3473048,14,NA,NA,NA
5,h,3475213,14,NA,NA,NA
5,h,3481518,14,NA,NA,NA
5,h,3491839,14,NA,NA,NA
5,h,3502047,NA,14,NA,NA
5,h,3502650,NA,14,NA,NA
5,h,3502663,NA,NA,13,NA
5,h,3517616,NA,NA,NA,15
5,h,3517626,NA,14,NA,NA
5,h,3518198,NA,NA,NA,15
5,h,3528246,NA,NA,13,NA
5,h,3528247,NA,NA,13,NA
5,h,3528252,NA,NA,NA,15
5,h,3528273,NA,14,NA,NA
5,l,3394859,6,NA,NA,NA
5,l,3421453,6,NA,NA,NA
5,l,3424063,6,NA,NA,NA
5,l,3430836,6,NA,NA,NA
5,l,3467073,6,NA,NA,NA
5,l,3473048,6,NA,NA,NA
5,l,3475213,6,NA,NA,NA
5,l,3481518,6,NA,NA,NA
5,l,3491839,6,NA,NA,NA
5,l,3502047,NA,6,NA,NA
5,l,3502650,NA,6,NA,NA
5,l,3502663,NA,NA,7,NA
5,l,3517616,NA,NA,NA,3
5,l,3517626,NA,6,NA,NA
5,l,3518198,NA,NA,NA,3
5,l,3528246,NA,NA,7,NA
5,l,3528247,NA,NA,7,NA
5,l,3528252,NA,NA,NA,3
5,l,3528273,NA,6,NA,NA
6,control,3394859,8,NA,NA,NA
6,control,3421453,8,NA,NA,NA
6,control,3424063,8,NA,NA,NA
6,control,3430836,8,NA,NA,NA
6,control,3467073,8,NA,NA,NA
6,control,3473048,8,NA,NA,NA
6,control,3475213,8,NA,NA,NA
6,control,3481518,8,NA,NA,NA
6,control,3491839,8,NA,NA,NA
6,control,3502047,NA,8,NA,NA
6,control,3502650,NA,8,NA,NA
6,control,3502663,NA,NA,4,NA
6,control,3517616,NA,NA,NA,9
6,control,3517626,NA,8,NA,NA
6,control,3518198,NA,NA,NA,9
6,control,3528246,NA,NA,4,NA
6,control,3528247,NA,NA,4,NA
6,control,3528252,NA,NA,NA,9
6,control,3528273,NA,8,NA,NA
6,h,3394859,13,NA,NA,NA
6,h,3421453,13,NA,NA,NA
6,h,3424063,13,NA,NA,NA
6,h,3430836,13,NA,NA,NA
6,h,3467073,13,NA,NA,NA
6,h,3473048,13,NA,NA,NA
6,h,3475213,13,NA,NA,NA
6,h,3481518,13,NA,NA,NA
6,h,3491839,13,NA,NA,NA
6,h,3502047,NA,13,NA,NA
6,h,3502650,NA,13,NA,NA
6,h,3502663,NA,NA,16,NA
6,h,3517616,NA,NA,NA,12
6,h,3517626,NA,13,NA,NA
6,h,3518198,NA,NA,NA,12
6,h,3528246,NA,NA,16,NA
6,h,3528247,NA,NA,16,NA
6,h,3528252,NA,NA,NA,12
6,h,3528273,NA,13,NA,NA
6,l,3394859,3,NA,NA,NA
6,l,3421453,3,NA,NA,NA
6,l,3424063,3,NA,NA,NA
6,l,3430836,3,NA,NA,NA
6,l,3467073,3,NA,NA,NA
6,l,3473048,3,NA,NA,NA
6,l,3475213,3,NA,NA,NA
6,l,3481518,3,NA,NA,NA
6,l,3491839,3,NA,NA,NA
6,l,3502047,NA,3,NA,NA
6,l,3502650,NA,3,NA,NA
6,l,3502663,NA,NA,4,NA
6,l,3517616,NA,NA,NA,3
6,l,3517626,NA,3,NA,NA
6,l,3518198,NA,NA,NA,3
6,l,3528246,NA,NA,4,NA
6,l,3528247,NA,NA,4,NA
6,l,3528252,NA,NA,NA,3
6,l,3528273,NA,3,NA,NA
